Type,Name,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,
WR,John Hightower,23,PHI,4,500000,55,55,89,89,42,42,67,67,46,46,55,55,18,18,29,59,52,48,,,,,,
WR,Quez Watkins,21,PHI,4,500000,90,92,91,93,60,61,71,72,61,62,75,77,19,19,59,38,37,36,,,,,,
WR,Julio Jones,31,ATL,4,22000000,84,84,94,94,83,83,92,92,92,92,92,92,40,40,73,82,91,96,,,,,,
WR,Laquon Treadwell,25,ATL,1,500000,75,78,85,88,64,67,71,75,63,66,84,87,31,33,77,52,53,54,,,,,,
WR,Calvin Ridley,26,ATL,2,2730000,86,89,95,98,64,67,87,91,63,66,69,72,29,30,73,61,72,77,,,,,,
WR,Russell Gage,24,ATL,2,500000,78,81,82,85,64,67,70,74,67,70,84,87,29,30,78,47,52,54,,,,,,
WR,Brandon Powell,24,ATL,1,500000,73,76,86,89,62,64,67,70,57,59,57,59,28,29,75,40,39,39,,,,,,
WR,Olamide Zaccheaus,23,ATL,2,500000,78,81,86,89,65,68,68,71,54,57,71,74,26,27,77,42,41,41,,,,,,
WR,Travis Benjamin,31,SF,1,1050000,84,84,94,94,66,66,75,75,59,59,80,80,26,26,63,42,44,45,,,,,,
WR,Trent Taylor,26,SF,1,500000,77,79,92,94,66,67,74,75,71,72,61,62,34,35,77,48,48,48,,,,,,
WR,Kendrick Bourne,25,SF,1,3260000,77,79,93,96,66,68,81,83,67,69,73,75,38,39,77,56,63,67,,,,,,
WR,Dante Pettis,25,SF,2,1600000,82,85,95,98,66,69,77,81,71,74,88,91,26,27,77,47,49,50,,,,,,
WR,Richie James Jr.,25,SF,2,500000,82,84,89,92,66,68,73,75,59,61,69,71,27,28,73,43,47,49,,,,,,
WR,Deebo Samuel,24,SF,3,1810000,84,87,87,90,75,78,78,83,67,70,84,87,32,34,80,61,66,69,,,,,,
WR,Jalen Hurd,24,SF,3,1070000,78,81,91,94,68,71,73,77,57,60,80,83,28,29,69,50,49,48,,,,,,
WR,Brandon Aiyuk,22,SF,4,500000,78,81,94,97,59,62,77,84,75,78,92,95,28,31,61,49,50,50,,,,,,
WR,Jauan Jennings,23,SF,4,500000,63,66,89,92,62,65,68,71,61,64,61,64,23,24,71,34,35,36,,,,,,
WR,Golden Tate,32,NYG,3,9380000,80,80,96,96,81,81,84,84,78,78,82,82,29,29,78,60,66,69,,,,,,
WR,Corey Coleman,26,NYG,1,1100000,82,85,91,94,65,68,72,76,61,64,80,83,26,27,73,46,44,43,,,,,,
WR,Sterling Shepard,26,NYG,4,10250000,80,83,93,96,72,75,83,86,77,80,84,87,36,37,80,61,68,71,,,,,,
WR,Cody Core,26,NYG,2,2000000,82,84,88,90,60,61,74,75,57,58,73,74,32,33,77,48,51,52,,,,,,
WR,Darius Slayton,23,NYG,3,500000,86,89,85,88,64,67,76,80,73,76,86,89,24,25,75,54,63,67,,,,,,
WR,Chris Conley,28,JAX,1,2300000,84,85,84,85,62,63,77,78,63,64,96,97,37,37,80,59,68,73,,,,,,
WR,Dede Westbrook,27,JAX,1,500000,86,87,94,95,70,71,82,83,69,70,67,68,27,27,67,55,63,67,,,,,,
WR,Keelan Cole,27,JAX,1,3260000,80,81,90,91,66,67,77,78,63,64,73,74,33,33,80,53,57,59,,,,,,
WR,D.J. Chark,24,JAX,2,700000,88,91,85,88,65,68,77,82,82,85,86,89,27,29,80,58,65,69,,,,,,
WR,Laviska Shenault Jr.,22,JAX,4,500000,78,81,89,92,65,68,72,78,69,72,77,80,29,31,80,46,45,45,,,,,,
WR,Collin Johnson,23,JAX,4,500000,78,81,89,92,64,67,71,75,61,64,78,81,30,32,69,44,43,43,,,,,,
WR,Josh Bellamy,31,NYJ,1,2500000,77,77,89,89,62,62,74,74,65,65,75,75,35,35,84,51,54,55,,,,,,
WR,Quincy Enunwa,28,NYJ,3,9000000,78,78,89,89,71,71,77,77,67,67,77,77,37,37,86,55,59,61,,,,,,
WR,Breshad Perriman,27,NYJ,1,6500000,90,93,82,85,65,68,71,74,67,70,75,78,23,24,54,53,56,57,,,,,,
WR,Jamison Crowder,27,NYJ,2,9500000,82,83,95,96,74,75,85,86,71,72,77,78,25,25,77,58,68,73,,,,,,
WR,Josh Doctson,28,NYJ,1,500000,78,80,88,91,69,71,73,75,71,73,90,93,30,31,69,52,51,51,,,,,,
WR,Braxton Berrios,25,NYJ,2,500000,82,84,91,94,63,65,73,75,59,61,73,75,26,27,65,44,45,46,,,,,,
WR,Denzel Mims,23,NYJ,4,500000,90,92,89,91,64,65,71,72,67,68,78,80,33,34,59,42,41,41,,,,,,
WR,Danny Amendola,35,DET,1,5000000,69,69,86,86,72,72,79,79,77,77,54,54,27,27,63,57,69,75,,,,,,
WR,Marvin Jones,30,DET,1,8000000,80,80,89,89,72,72,83,83,80,80,82,82,35,35,78,67,74,78,,,,,,
WR,Geremy Davis,28,DET,1,1050000,78,78,88,88,61,61,73,73,69,69,75,75,32,32,65,50,51,51,,,,,,
WR,Geronimo Allison,26,DET,1,1050000,77,79,83,85,65,66,73,74,65,66,73,74,33,34,75,54,60,63,,,,,,
WR,Kenny Golladay,27,DET,1,500000,80,82,88,90,67,68,83,85,84,86,84,86,33,34,77,69,78,82,,,,,,
WR,Quintez Cephus,22,DET,4,500000,59,60,88,89,51,52,67,68,65,66,88,89,28,28,53,40,49,53,,,,,,
WR,Davante Adams,28,GB,2,14500000,78,80,90,92,71,72,89,91,88,90,86,88,30,31,86,76,88,94,,,,,,
WR,Devin Funchess,26,GB,1,2500000,77,80,84,87,67,70,74,77,73,76,82,85,35,36,77,59,63,65,,,,,,
WR,Jake Kumerow,28,GB,1,500000,77,77,87,87,64,64,71,71,69,69,57,57,37,37,65,49,50,51,,,,,,
WR,Marquez V-Scantling,26,GB,2,500000,86,88,88,90,63,64,73,74,71,72,54,55,25,26,80,49,50,51,,,,,,
WR,Equanimeous St. Brown,24,GB,2,500000,80,83,87,90,64,67,69,72,59,61,67,70,30,31,77,45,42,41,,,,,,
WR,DeAndrew White,29,CAR,1,500000,80,80,86,86,66,66,69,69,59,59,73,73,25,25,48,42,43,43,,,,,,
WR,Seth Roberts,29,CAR,1,3750000,80,80,91,91,65,65,80,80,67,67,67,67,33,33,80,54,63,67,,,,,,
WR,Pharoh Cooper,25,CAR,1,1210000,75,77,88,91,63,65,73,75,61,63,65,67,30,31,77,49,52,53,,,,,,
WR,Robby Anderson,27,CAR,2,10000000,88,89,84,85,66,67,78,79,82,83,73,74,28,28,71,62,72,77,,,,,,
WR,Curtis Samuel,24,CAR,1,1610000,90,93,92,95,72,75,82,87,69,72,77,80,29,31,80,58,65,69,,,,,,
WR,D.J. Moore,23,CAR,2,2790000,86,89,92,95,77,80,87,94,82,85,86,89,30,32,86,67,78,84,,,,,,
WR,Matthew Slater,35,NE,2,2650000,73,73,78,78,65,65,69,69,54,54,61,61,24,24,80,50,59,63,,,,,,
WR,Julian Edelman,34,NE,2,7750000,73,73,91,91,77,77,88,88,71,71,69,69,31,31,77,71,84,90,,,,,,
WR,Mohamed Sanu,31,NE,1,6500000,75,75,87,87,66,66,77,77,75,75,77,77,37,37,86,60,66,69,,,,,,
WR,Damiere Byrd,27,NE,1,1350000,90,91,94,95,66,67,80,81,65,66,78,79,20,20,63,49,56,59,,,,,,
WR,N'Keal Harry,23,NE,3,2520000,77,80,83,86,69,72,69,75,67,70,84,87,35,38,82,53,52,51,,,,,,
WR,Nelson Agholor,27,LV,1,1050000,82,85,93,96,76,79,77,80,75,78,75,78,27,28,80,53,54,54,,,,,,
WR,Tyrell Williams,28,LV,3,11080000,84,84,95,95,68,68,83,83,67,67,86,86,34,34,71,60,63,65,,,,,,
WR,Zay Jones,25,LV,1,1690000,80,83,88,91,67,70,73,77,73,76,75,78,34,36,88,54,53,52,,,,,,
WR,Hunter Renfrow,25,LV,3,500000,73,75,87,90,62,64,74,76,71,73,69,71,28,29,73,52,58,61,,,,,,
WR,Henry Ruggs III,21,LV,4,500000,94,97,94,97,52,55,75,83,57,60,75,78,14,15,59,40,39,38,,,,,,
WR,Bryan Edwards,22,LV,4,500000,96,98,85,87,54,55,71,72,50,51,69,70,12,12,33,52,65,71,,,,,,
WR,Robert Woods,28,LAR,2,6800000,82,84,88,90,68,69,82,84,88,90,78,80,37,38,88,65,75,80,,,,,,
WR,Cooper Kupp,27,LAR,1,580000,77,79,94,96,75,77,89,91,90,92,54,55,34,35,78,69,80,86,,,,,,
WR,Josh Reynolds,25,LAR,1,500000,77,79,86,89,65,67,73,75,69,71,77,79,33,34,75,52,57,59,,,,,,
WR,Greg Dortch,22,LAR,2,500000,75,78,89,92,62,65,69,73,71,74,61,64,23,24,71,38,39,40,,,,,,
WR,Nsimba Webster,24,LAR,1,500000,77,80,89,92,65,68,69,72,54,56,55,57,28,29,69,41,40,40,,,,,,
WR,Van Jefferson,24,LAR,4,500000,82,85,89,92,65,68,68,72,55,58,77,80,26,28,77,38,37,36,,,,,,
WR,Willie Snead,28,BAL,1,6000000,78,78,86,86,69,69,80,80,69,69,73,73,32,32,80,59,70,75,,,,,,
WR,Chris Moore,27,BAL,1,1670000,80,81,90,91,64,65,75,76,61,62,77,78,34,34,78,49,53,55,,,,,,
WR,Jaleel Scott,25,BAL,2,500000,75,77,80,82,66,68,65,67,61,63,71,73,24,25,78,46,43,42,,,,,,
WR,Marquise Brown,23,BAL,3,2950000,94,97,96,99,66,69,82,89,69,72,71,74,22,24,73,50,56,59,,,,,,
WR,Miles Boykin,24,BAL,3,530000,82,85,89,92,63,66,73,77,67,70,92,95,32,34,75,50,51,51,,,,,,
WR,Devin Duvernay,22,BAL,4,500000,78,80,95,97,58,59,71,72,90,92,53,54,22,22,38,41,45,47,,,,,,
WR,James Proche,23,BAL,4,500000,65,65,82,82,49,49,72,72,48,48,52,52,19,19,46,52,67,75,,,,,,
WR,Cody Latimer,28,WAS,1,1050000,80,82,87,89,58,59,74,75,61,62,84,86,35,36,63,54,56,57,,,,,,
WR,Trey Quinn,25,WAS,2,500000,75,77,85,88,66,68,70,72,73,75,63,65,29,30,75,47,47,47,,,,,,
WR,Kelvin Harmon,24,WAS,3,500000,75,78,81,84,65,68,67,70,73,76,59,61,33,34,82,51,51,51,,,,,,
WR,Terry McLaurin,24,WAS,3,960000,86,89,85,88,66,69,77,81,73,76,73,76,28,29,82,60,67,71,,,,,,
WR,Steven Sims,23,WAS,2,500000,82,85,84,87,65,68,71,75,59,62,55,58,31,33,78,46,49,51,,,,,,
WR,Antonio Gibson,22,WAS,4,500000,63,64,95,97,57,58,76,78,54,55,82,84,23,23,88,52,51,50,,,,,,
WR,Antonio Gandy-Golden,22,WAS,4,500000,73,76,92,95,64,67,76,81,71,74,75,78,20,21,88,41,46,48,,,,,,
WR,Emmanuel Sanders,33,NO,3,12000000,78,78,93,93,76,76,88,88,88,88,84,84,29,29,75,65,79,86,,,,,,
WR,Michael Thomas,27,NO,5,19250000,78,80,92,95,74,76,91,94,98,101,84,87,33,34,80,83,93,98,,,,,,
WR,Maurice Harris,28,NO,1,500000,75,75,87,87,65,65,73,73,75,75,73,73,33,33,77,47,52,54,,,,,,
WR,Tre'Quan Smith,24,NO,2,500000,78,81,85,88,66,69,72,76,67,70,78,81,33,35,84,52,54,55,,,,,,
WR,Deonte Harris,23,NO,2,500000,82,85,89,92,64,67,73,77,55,58,61,64,22,23,61,43,45,46,,,,,,
WR,Phillip Dorsett,27,SEA,1,1050000,90,93,91,94,67,70,77,80,75,78,78,81,31,32,67,53,56,57,,,,,,
WR,Tyler Lockett,28,SEA,2,10250000,86,87,97,98,79,80,90,91,86,87,69,70,29,29,73,65,76,82,,,,,,
WR,David Moore,25,SEA,1,2130000,82,84,83,85,66,68,73,75,71,73,78,80,40,41,82,57,61,63,,,,,,
WR,D.K. Metcalf,23,SEA,3,1150000,90,93,81,84,75,78,74,79,65,68,88,91,34,36,63,61,64,65,,,,,,
WR,Freddie Swain,21,SEA,4,500000,96,98,80,82,58,59,63,64,43,44,75,77,20,20,24,39,36,35,,,,,,
WR,JuJu Smth-Schuster,24,PIT,1,660000,82,85,88,91,74,77,82,87,80,83,86,89,34,36,80,68,75,78,,,,,,
WR,Amara Darboh,26,PIT,1,500000,78,80,87,90,60,62,67,69,65,67,73,75,35,36,80,44,38,35,,,,,,
WR,Ryan Switzer,26,PIT,1,500000,80,82,93,95,65,66,75,77,63,64,61,62,32,33,84,47,46,46,,,,,,
WR,James Washington,24,PIT,2,1130000,80,83,85,88,69,72,71,76,67,70,69,72,30,32,86,53,54,54,,,,,,
WR,Deon Cain,24,PIT,1,500000,82,85,91,94,64,67,70,73,54,56,63,66,35,36,84,43,40,39,,,,,,
WR,Diontae Johnson,24,PIT,3,1070000,82,85,92,95,67,70,78,82,73,76,69,72,25,26,78,51,55,57,,,,,,
WR,Chase Claypool,21,PIT,4,500000,86,89,80,83,45,47,65,68,63,66,82,85,20,21,84,42,45,46,,,,,,
WR,Adam Humphries,27,TEN,3,9000000,77,78,87,88,65,66,78,79,78,79,67,68,29,29,75,58,67,71,,,,,,
WR,Kalif Raymond,26,TEN,1,500000,88,90,91,93,66,67,74,75,59,60,65,66,29,30,73,43,43,43,,,,,,
WR,Corey Davis,25,TEN,1,6350000,80,83,91,94,70,73,77,82,73,76,84,87,41,43,75,56,58,59,,,,,,
WR,Cody Hollister,27,TEN,1,500000,73,74,82,83,63,64,65,66,59,60,65,66,31,31,73,46,43,41,,,,,,
WR,A.J. Brown,23,TEN,3,1410000,80,83,87,90,74,77,79,85,77,80,75,78,34,36,77,61,68,71,,,,,,
WR,Adam Thielen,30,MIN,5,16050000,80,80,93,93,70,70,88,88,90,90,82,82,30,30,80,72,80,84,,,,,,
WR,Tajae Sharpe,26,MIN,1,1000000,77,79,92,94,66,67,77,79,69,70,65,66,33,34,78,52,54,55,,,,,,
WR,Olabisi Johnson,23,MIN,3,500000,78,81,87,90,62,65,71,76,69,72,78,81,29,31,80,48,50,51,,,,,,
WR,Justin Jefferson,21,MIN,4,500000,78,81,89,92,65,68,72,79,69,72,77,80,29,32,80,46,45,45,,,,,,
WR,K.J. Osborn,22,MIN,4,500000,53,54,86,87,49,49,74,75,59,60,59,60,31,31,48,52,58,61,,,,,,
WR,Randall Cobb,30,HOU,3,9000000,80,80,91,91,72,72,80,80,63,63,69,69,30,30,75,55,63,67,,,,,,
WR,Kenny Stills,28,HOU,1,8000000,84,84,85,85,71,71,78,78,78,78,73,73,30,30,84,59,67,71,,,,,,
WR,Brandin Cooks,27,HOU,4,16200000,90,93,95,98,66,69,84,87,77,80,73,76,29,30,73,60,67,71,,,,,,
WR,DeAndre Carter,27,HOU,1,500000,82,83,94,95,62,63,77,78,61,62,82,83,22,22,77,47,48,49,,,,,,
WR,Will Fuller,26,HOU,1,2540000,90,93,87,90,67,70,80,84,71,74,73,76,34,36,65,59,68,73,,,,,,
WR,Keke Coutee,23,HOU,2,500000,82,85,88,91,66,69,74,78,63,66,67,70,27,28,78,49,52,54,,,,,,
WR,Isaiah Coulter,22,HOU,4,500000,82,85,85,88,50,53,68,72,69,72,82,85,25,27,75,44,45,45,,,,,,
WR,De'Anthony Thomas,27,FA,0,0,82,83,87,88,66,67,71,72,57,58,71,72,26,26,61,42,47,49,,,,,,
WR,Bralon Addison,27,FA,0,0,78,79,91,92,73,74,67,68,54,55,65,66,27,27,55,39,33,30,,,,,,
WR,Trevor Davis,27,FA,0,0,84,85,92,93,65,66,73,74,57,58,82,83,27,27,77,44,43,42,,,,,,
WR,Moritz Boehringer,27,FA,0,0,77,78,87,88,62,63,68,69,55,56,84,85,30,30,82,47,40,37,,,,,,
WR,Mike Thomas,26,FA,0,0,77,79,85,87,63,64,69,70,57,58,73,74,31,32,80,46,47,48,,,,,,
WR,Tommylee Lewis,28,FA,0,0,82,82,89,89,66,66,74,74,57,57,67,67,26,26,69,46,49,51,,,,,,
WR,Marcus Johnson,26,FA,0,0,86,88,81,83,65,66,70,71,63,64,77,79,26,27,73,51,54,55,,,,,,
WR,Artavis Scott,26,FA,0,0,77,79,79,81,64,65,62,63,61,62,54,55,27,28,84,42,40,39,,,,,,
WR,Jehu Chesson,27,FA,0,0,78,79,88,89,62,63,69,70,67,68,82,83,35,35,77,47,44,43,,,,,,
WR,Josh Malone,24,FA,0,0,84,84,85,85,62,62,68,68,65,65,61,61,34,34,78,47,44,43,,,,,,
WR,Chad Hansen,25,FA,0,0,78,80,90,93,65,67,71,73,69,71,69,71,35,36,75,48,44,42,,,,,,
WR,Jaydon Mickens,26,FA,0,0,78,80,95,97,67,68,75,77,57,58,71,72,25,26,63,44,45,45,,,,,,
WR,Marvin Hall,27,DET,1,500000,84,85,88,89,66,67,74,75,63,64,84,85,27,27,71,48,51,52,,,,,,
WR,Tevin Jones,28,FA,0,0,84,84,88,88,59,59,67,67,50,50,73,73,29,29,80,38,36,35,,,,,,
WR,Shelton Gibson,26,FA,0,0,86,88,89,91,65,66,72,73,65,66,57,58,26,27,75,43,46,48,,,,,,
WR,Rodney Adams,26,FA,0,0,82,84,91,93,57,58,72,73,59,60,52,53,27,28,77,42,41,41,,,,,,
WR,Robert Davis,25,FA,0,0,82,84,86,89,64,66,67,69,65,67,86,89,30,31,78,44,40,38,,,,,,
WR,Zach Pascal,26,FA,0,0,75,77,86,88,65,66,77,79,77,79,73,74,39,40,73,57,64,67,,,,,,
WR,Cyril Grayson,27,TB,1,500000,88,89,96,97,61,62,73,74,78,79,73,74,34,34,71,38,36,35,,,,,,
WR,Reggie Davis,25,FA,0,0,88,91,87,90,65,67,69,71,54,56,57,59,25,26,71,36,39,40,,,,,,
WR,Taquan Mizzell,27,FA,0,0,75,76,86,87,68,69,69,70,55,56,65,66,28,28,77,41,42,42,,,,,,
WR,Victor Bolden Jr.,25,FA,0,0,80,82,90,93,66,68,70,72,57,59,57,59,25,26,82,37,38,38,,,,,,
WR,Chris Thompson,26,FA,0,0,80,82,84,86,64,65,69,70,54,55,67,68,27,28,69,42,45,46,,,,,,
WR,Isaac Whitney,26,FA,0,0,86,88,83,85,63,64,65,66,53,54,73,74,25,26,71,35,37,38,,,,,,
WR,Quincy Adeboyejo,25,FA,0,0,84,87,89,92,65,67,69,71,54,56,67,69,26,27,77,39,36,35,,,,,,
WR,Krishawn Hogan,25,FA,0,0,75,77,90,93,65,67,68,70,54,56,75,77,32,33,84,40,35,33,,,,,,
WR,J'Mon Moore,25,FA,0,0,75,77,94,97,63,65,71,73,57,59,80,82,27,28,78,61,46,38,,,,,,
WR,Daurice Fountain,25,FA,0,0,78,80,84,87,63,65,66,68,59,61,90,93,24,25,80,44,43,42,,,,,,
WR,Ray-Ray McCloud,24,FA,0,0,80,83,87,90,66,69,68,71,69,72,67,70,29,30,82,40,37,36,,,,,,
WR,Marcell Ateman,26,FA,0,0,73,74,81,83,63,64,65,66,65,66,69,70,36,37,77,47,45,44,,,,,,
WR,River Cracraft,26,FA,0,0,73,74,90,92,63,64,70,71,57,58,71,72,27,28,59,42,41,41,,,,,,
WR,Tim Patrick,27,FA,0,0,80,81,85,86,63,64,73,74,63,64,78,79,34,34,55,52,55,57,,,,,,
WR,C.J. Board,27,FA,0,0,84,85,93,94,62,63,73,74,55,56,82,83,29,29,73,41,39,38,,,,,,
WR,Gehrig Dieter,27,FA,0,0,73,74,81,82,65,66,68,69,65,66,65,66,33,33,65,48,49,50,,,,,,
WR,Rashard Davis,25,FA,0,0,80,82,87,90,63,65,67,69,59,61,69,71,24,25,80,40,39,38,,,,,,
WR,Keon Hatcher,26,FA,0,0,69,70,85,87,60,61,68,69,67,68,55,56,28,29,77,46,46,46,,,,,,
WR,Fred Brown,27,FA,0,0,80,81,87,88,63,64,69,70,59,60,67,68,25,25,75,43,41,40,,,,,,
WR,Tim White,26,FA,0,0,78,80,88,90,66,67,73,74,59,60,82,84,24,24,71,44,50,53,,,,,,
WR,Da'Mari Scott,25,FA,0,0,78,80,88,91,62,64,69,71,59,61,59,61,26,27,67,42,42,42,,,,,,
WR,Christian Blake,24,FA,0,0,78,81,86,89,62,65,68,71,57,60,69,72,25,26,77,42,43,43,,,,,,
WR,Devin Gray,25,FA,0,0,84,87,87,90,64,66,69,71,57,59,69,71,25,26,77,43,40,39,,,,,,
WR,Saeed Blacknall,24,FA,0,0,86,89,89,92,65,68,69,72,55,57,59,61,28,29,73,43,40,38,,,,,,
WR,Steven Mitchell,26,FA,0,0,75,77,90,92,63,64,69,70,57,58,67,68,29,30,61,39,37,36,,,,,,
WR,Cam Sims,24,FA,0,0,75,78,82,85,64,67,66,69,63,66,65,68,33,34,73,44,43,43,,,,,,
WR,Quadree Henderson,24,FA,0,0,78,81,86,89,61,64,67,70,54,57,59,62,30,32,75,41,38,37,,,,,,
WR,Brandon Zylstra,27,FA,0,0,71,72,78,79,63,64,63,64,59,60,65,66,27,27,73,45,44,44,,,,,,
WR,Cameron Batson,25,FA,0,0,86,89,91,94,62,64,73,75,57,59,84,87,26,27,75,44,45,46,,,,,,
WR,Robert Foster,26,FA,0,0,88,90,87,89,64,65,73,74,65,66,63,64,28,29,77,48,52,54,,,,,,
WR,Vyncint Smith,24,FA,0,0,86,89,87,90,63,66,72,75,57,59,86,89,26,27,71,43,46,48,,,,,,
WR,KhaDarel Hodge,25,FA,0,0,75,77,85,88,64,66,69,71,65,67,77,79,27,28,77,45,46,46,,,,,,
WR,Keith Kirkwood,27,FA,0,0,82,83,85,86,64,65,70,71,63,64,69,70,29,29,75,48,50,51,,,,,,
WR,Deontay Burnett,23,FA,0,0,80,83,88,91,65,68,70,74,57,60,67,70,31,33,67,40,41,42,,,,,,
WR,Chad Beebe,26,FA,0,0,73,74,87,89,61,62,72,73,63,64,59,60,21,21,61,44,49,51,,,,,,
WR,Rico Gafford,24,FA,0,0,92,92,80,80,59,59,64,64,54,54,75,75,25,25,80,37,38,38,,,,,,
WR,Darvin Kidsy,25,FA,0,0,80,82,89,92,65,67,70,72,59,61,90,93,26,27,75,39,40,41,,,,,,
WR,Allen Lazard,25,FA,0,0,75,77,81,83,64,66,70,72,67,69,80,82,37,38,63,52,55,57,,,,,,
WR,Chris Lacy,24,FA,0,0,78,81,77,80,65,68,63,66,59,61,71,74,32,33,71,45,46,46,,,,,,
WR,Emanuel Hall,23,WAS,2,500000,86,86,86,86,65,65,68,68,59,59,90,90,25,25,69,39,38,38,,,,,,
WR,Jon'Vea Johnson,25,FA,0,0,84,87,91,94,63,65,71,73,57,59,71,73,24,25,82,42,40,39,,,,,,
WR,Gary Jennings,23,MIA,3,500000,84,87,88,91,64,67,68,71,63,66,77,80,29,30,80,45,40,38,,,,,,
WR,Dillon Mitchell,23,FA,0,0,80,83,86,89,65,68,69,72,59,62,75,78,23,24,78,41,42,42,,,,,,
WR,David Sills,24,FA,0,0,75,75,85,85,63,63,67,67,55,55,78,78,28,28,69,34,38,40,,,,,,
WR,Anthony Johnson,25,FA,0,0,75,77,84,87,64,66,67,69,65,67,63,65,31,32,80,54,47,43,,,,,,
WR,Lil'Jordan Humphrey,22,FA,0,0,65,68,81,84,65,68,64,68,63,66,65,68,28,30,78,45,44,43,,,,,,
WR,Diontae Spencer,28,FA,0,0,86,86,83,83,62,62,66,66,55,55,80,80,25,25,67,42,41,41,,,,,,
WR,Jester Weah,25,FA,0,0,84,87,92,95,59,61,72,74,59,61,80,82,27,28,80,36,39,41,,,,,,
WR,Jordan Veasy,25,FA,0,0,77,79,86,89,62,64,66,68,55,57,65,67,31,32,77,33,33,33,,,,,,
WR,Duke Williams,28,FA,0,0,69,69,78,78,63,63,65,65,61,61,67,67,32,32,73,50,51,52,,,,,,
WR,Devin Ross,25,FA,0,0,55,57,80,82,45,46,63,65,63,65,82,84,20,21,84,39,39,39,,,,,,
WR,Byron Pringle,27,FA,0,0,82,83,87,88,67,68,71,72,61,62,63,64,28,28,71,46,47,47,,,,,,
WR,Codey McElroy,28,FA,0,0,77,77,86,86,62,62,66,66,55,55,65,65,31,31,77,33,33,33,,,,,,
WR,Travis Fulgham,25,FA,0,0,75,77,87,90,63,65,69,71,57,59,75,77,35,36,82,46,45,44,,,,,,
WR,Terry Godwin,24,FA,0,0,78,81,88,91,63,66,70,73,61,63,73,76,25,26,78,46,43,41,,,,,,
WR,John Ursua,26,SEA,3,500000,75,77,89,91,65,66,71,72,55,56,77,79,26,27,77,45,46,46,,,,,,
WR,Johnnie Dixon,26,FA,0,0,84,86,87,89,64,65,69,70,61,62,78,80,33,34,59,48,43,41,,,,,,
WR,Stanley Morgan Jr.,24,FA,0,0,77,80,90,93,64,67,71,74,59,61,82,85,32,33,77,45,43,42,,,,,,
WR,Alex Wesley,25,FA,0,0,82,84,77,79,62,64,62,64,57,59,82,84,30,31,75,31,38,41,,,,,,
WR,Damion Willis,23,FA,0,0,78,81,82,85,64,67,65,68,65,68,67,70,28,29,71,46,44,43,,,,,,
WR,Preston Williams,23,FA,0,0,80,83,83,86,64,67,69,72,65,68,82,85,29,30,67,52,53,54,,,,,,
WR,Darrius Shepherd,25,FA,0,0,75,77,87,90,62,64,68,70,63,65,71,73,26,27,78,43,42,41,,,,,,
WR,Jakobi Meyers,24,FA,0,0,71,74,88,91,65,68,72,75,65,68,77,80,29,30,75,48,49,50,,,,,,
WR,Gunner Olszewski,24,FA,0,0,77,80,88,91,60,62,70,73,57,59,73,76,27,28,75,43,45,46,,,,,,
WR,Ventell Bryant,24,FA,0,0,71,74,83,86,63,66,66,69,61,63,69,72,33,34,77,44,45,45,,,,,,
WR,Keelan Doss,24,FA,0,0,75,78,85,88,61,63,70,73,65,68,73,76,33,34,73,48,49,50,,,,,,
WR,Tom Kennedy,24,FA,0,0,75,78,92,95,65,68,72,75,63,66,73,76,30,31,75,44,42,41,,,,,,
WR,Ashton Dulin,23,FA,0,0,82,85,89,92,65,68,69,72,65,68,78,81,26,27,80,43,40,38,,,,,,
WR,Davion Davis,24,FA,0,0,73,76,87,90,63,66,68,71,59,62,57,60,28,29,73,43,42,41,,,,,,
WR,Jason Moore,25,FA,0,0,75,77,91,94,65,67,70,72,63,65,54,56,33,34,75,44,40,38,,,,,,
WR,Michael Walker,24,FA,0,0,80,83,83,86,63,66,66,69,59,62,73,76,25,26,84,44,42,41,,,,,,
WR,Alexander Hollins,24,FA,0,0,78,81,87,90,60,62,68,71,55,57,75,78,19,20,73,39,40,41,,,,,,
WR,Jalen Guyton,23,FA,0,0,86,89,87,90,62,65,66,69,57,60,75,78,29,30,77,40,35,33,,,,,,
WR,Jeff Smith,23,FA,0,0,86,89,88,91,63,66,69,72,54,57,69,72,23,24,80,41,39,38,,,,,,
WR,Binjimen Victor,23,FA,0,0,77,77,90,90,64,64,69,69,54,54,82,82,32,32,77,39,36,35,,,,,,
WR,Kendrick Rogers,21,FA,0,0,77,79,91,93,45,46,70,71,63,64,82,84,20,20,84,38,39,39,,,,,,
WR,Demaryius Thomas,33,FA,0,0,80,80,89,89,63,63,77,77,67,67,80,80,36,36,78,58,61,63,,,,,,
WR,Dwayne Harris,33,FA,0,0,73,73,88,88,70,70,74,74,61,61,63,63,29,29,75,51,56,59,,,,,,
WR,Ted Ginn Jr.,35,FA,0,1190000,84,84,91,91,74,74,76,76,61,61,75,75,28,28,78,47,52,54,,,,,,
WR,Tavon Austin,29,FA,0,0,88,88,93,93,67,67,79,79,63,63,57,57,28,28,69,48,54,57,,,,,,
WR,Josh Gordon,29,FA,0,0,82,82,89,89,72,72,72,72,71,71,73,73,32,32,71,51,48,46,,,,,,
WR,Chris Hogan,32,FA,0,0,77,77,88,88,62,62,74,74,77,77,75,75,31,31,77,53,54,55,,,,,,
WR,Jarius Wright,31,FA,0,0,80,80,88,88,68,68,77,77,63,63,80,80,34,34,88,49,60,65,,,,,,
